,title,abstract,authors,affiliation,subject,paper_type
76,Comparison Study of Listeners' Perception of 5.1 and Dolby Atmos,"Surround sound reproduction has been a common technology in almost every theater room for several decades. In 2012 Dolby Laboratories, Inc. announced a new spatial 3D audio format – Dolby Atmos [1] that (due to its object-based rendering) pushes the possibilities of spatial reproduction and supposedly listeners’ experience forward. This paper examines listeners’ perception of this format in comparison with today’s unwritten standard for cinema reproduction – 5.1. Two sample groups were chosen for the experiment - experienced listeners (sound designers and sound design students) and inexperienced listeners; the objective was to examine how these two groups perceive selected formats and whether there is any difference between these two groups. We aimed at five aspects – Spatial Immersion (Envelopment), Localization, Dynamics, Audio Quality, and Format Preference. The results show mostly an insignificant difference between these two groups while both of them slightly leaned towards Dolby Atmos over 5.1.","['Oramus, Tomas', 'Neubauer, Petr']","['Academy of Performing Arts in Prague, Prague, Czech Republic']","Spatial Audio, Part 1",Talk
77,What's Old Is New Again: Using a Physical Scale Model Echo Chamber as a Real-Time Reverberator,"This paper presents a method using physical scale models as echo chambers. The proposed framework creates a partitioned convolution engine where the convolution processing is carried out physically on an up-scaled live audio stream in the model. The resulting reverberated sound is captured and down-scaled, providing the result to the user in real-time. The scale factor can be dynamically changed to explore different room sizes and the reduced dimensions of the scale model make it a tangible reverberation tool. Scale factors up to 1:5 have been tested for full bandwidth, with higher factor possible with improved hardware or in exchange for lowering the upper frequency range, primarily due to driver performance.","['Delcourt, Kevin', 'Zagala, Franck', 'Blum, Alan', 'Katz, Brian F. G.']","['École Nationale Supérieure Louis Lumière, Saint-Denis, France', 'Sorbonne Université, Paris, France']",Room Acoustics,Talk
78,Impulse Response Simulation of a Small Room and in situ Measurements Validation,"The study of reverberation time in room acoustics presents certain drawbacks when dealing with small spaces. In order to reduce the inaccuracies due to the lack of space for placing measurement devices, finite element methods become a good alternative to support measurement results or to predict the reverberation time on the bases of calculating impulse responses. This paper presents a comparison of the reverberation time obtained by means of in situ and simulated impulse responses. The impulse response is simulated using time-domain finite elements methods. The used room for measurements and simulations is a control room of Universidad de Las Americas. Results show a measured mean absolute error of 0.04 s compared to the computed reverberation time.","['Núñez-Solano, Daniel', 'Puyana-Romero, Virginia', 'Ordóñez-Andrade, Cristian', 'Bravo-Moncayo, Luis', 'Garzón-Pico, Christiam']","['University of Las Américas, Quito, Ecuador']",Room Acoustics,Poster
79,Discrimination of High-Resolution Audio without Music,"Nowadays, High-Resolution (Hi-Res) audio format, which has higher sampling frequency (Fs) and quantization bit number than the Compact disc (CD) format, is becoming extremely popular. Several studies have been conducted to clarify whether these two formats can be distinguished. However, most of the studies were conducted by only using music sources to reach a conclusion. In this paper we will try to bring out the problems due to the primary use of music sources for experimental purposes. We will also answer the question related to discrimination between hi-Res and CD formats using sources other than music, such as noise.","['Fukuda, Yuki', 'Ishimitsu, Shunsuke']","['Hiroshima City University, Hiroshima-shi, Japan']",Perception,Poster
80,"The Influences of Microphone System, Video, and Listening Position on the Perceived Quality of Surround Recording for Sport Content","This paper investigates the influences of the recording/reproduction format, video, and listening position on the quality perception of surround ambience recordings for sporting events. Two microphone systems—First Order Ambisonics (FOA) and Equal Segment Microphone Array (ESMA)—were compared in both 4-channel (2D) and 8-channel (3D) loudspeaker reproductions. One subject group tested audio-only conditions while the other group was presented with video as well as audio. Overall, the ESMA was rated significantly higher than the FOA for all quality attributes tested regardless of the presence of video. The 2D and 3D reproductions did not have a significant difference within each microphone system. Video had a significant interaction with the microphone system and listening position depending on the attribute.","['Moulson, Aimee', 'Lee, Hyunkook']","['University of Huddersfield, Huddersfield, UK']",Spatial Audio,Poster
81,Application of Matrix Analysis for Derivation of Acoustical Impedance of Horns,"The direct measurement of a horn’s acoustical impedance requires knowledge of both the sound pressure and volume velocity at the throat of the horn. While measuring sound pressure is trivial, the measurement of volume velocity requires special equipment. This work proposes a new derivation method for the acoustical impedance of a horn. The method is based on matrix analysis and consists of two stages: derivation of the compression driver’s square transfer matrix of A-parameters, and measurement of electrical impedance and sound pressure at the throat of the horn. These functions yield two matrix equations that relate measured sound pressure and electrical impedance, which allows for an acoustical impedance derivation of the horn. A comparison with COMSOL simulation is provided.","['Voishvillo, Alexander', 'Kákonyi, Balázs', 'McLaughlin, Brian']","['Harman Professional Solutions, Northridge, CA, USA']",Transducers,Talk
82,Perceptually Motivated Hearing Loss Simulation for Audio Mixing Reference,"This paper proposes the development of a hearing loss simulation for use in audio mix referencing, designed according to psychoacoustic and audiology research findings. The simulation proposed in this paper aims to reproduce four perceptual aspects of hearing loss; threshold elevation, loss of dynamic range, reduced frequency and temporal resolution, while providing an audio input/output functionality.","['Mourgela, Angeliki', 'Agus, Trevor', 'Reiss, Joshua D.']","['Queen Mary University of London, London, UK', 'Queens University Belfast, Belfast, UK']",Audio Signal Processing,Talk
83,Subjective Assessment of the Versatility of Three-Dimensional Near-Field Microphone Arrays for Vertical and Three-Dimensional Imaging,"This investigation examines the operational size-range of audio images recorded with advanced close-capture microphone arrays for three-dimensional imaging. It employs a 3D panning tool to manipulate audio images. The 3D microphone arrays used in this study were: Coincident-XYZ, M/S-XYZ, and Non-coincident-XYZ/five-point. Instruments of the orchestral string, woodwind, and brass sections were recorded. The objective of the test was to determine the point of three-dimensional expansion onset, preferred imaging, and image breakdown point. Subjects were presented with a continuous dial to manipulate the three-dimensional spread of the arrays, allowing them to expand or contract the microphone signals from 0° to 90° azimuth/elevation. The results showed that the M/S-XYZ array is the perceptually “biggest” of the capture systems under test and displayed the fasted sense of expansion onset. The coincident and non-coincident arrays are much less agreed upon by subjects in terms of preference in particular, and also in expansion onset.","['Martin, Bryan', 'Kelly, Jack', 'Leonard, Brett']","['McGill University, Montreal, QC, Canada', 'Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), Montreal, QC, Canada', 'University of Indianapolis, Indianapolis, IN, USA', 'The Chelsea Music Festival, New York, NY, USA']","Spatial Audio, Part 1",Talk
84,Modifying Audio Signals for Reproduction with Reduced Room Effect,"Conventionally, equalizers are applied when reproducing audio signals in rooms to reduce coloration and effect of room resonances. Another approach, filtering audio signals with an inverse of the room impulse response (RIR), can theoretically eliminate the effect of the room in one point. But practical issues arise such as impaired sound at other positions, a need to update when RIRs change, and loudspeaker-challenging signals. A technique is presented, which modifies the time-frequency envelopes (spectrogram) of audio signals, such that the corresponding spectrogram in the room is more similar to the original signal’s spectrogram, i.e., room effect is attenuated. The proposed technique has low sensitivity on RIR and listener position changes.","['Faller, Christof']","['Illusonic GmbH, Uster, Zürich, Switzerland']",Audio Signal Processing,Talk
85,Modeling between Partial Components for Musical Timbre Imitation and Migration,"Most musical sounds have strong and regularly distributed spectral components such as harmonic partials. However, the energy distribution patterns between any two such sonic partials, the in-between low-energy signal patterns such as performance articulation or instrument signatures, are also important for characterizing musical sounds. This paper presents a timbre-modeling framework for detecting and modeling the between-partial components for musical timbre analysis and synthesis. This framework focuses on timbre imitation and migration for electronic music instruments, where timbral patterns obtained from acoustical instruments are re-interpreted for electronic instruments and new music interfaces. The proposed framework will help musicians and audio engineers to better explore musical timbre and musical performance expressions for enhancing the naturalness, expressiveness, and creativeness of electronic/computer music systems.","['Kihiko, Angela C.', 'Ogihara, Mitsunori', 'Ren, Gang', 'Beauchamp, James W.']","['Spelman College, Atlanta, GA, USA', 'University of Miami, Coral Gables, FL, USA', 'University of Illinois, Urbana, IL, USA']",Audio Signal Processing,Talk
86,Spatial B-Format Equalization,"Audio corresponding to the moving picture of a virtual reality (VR) camera can be recorded using a VR microphone. The resulting A or B-format channels are decoded with respect to the look-direction for generating binaural or multichannel audio following the visual scene. Existing post-production tools are limited to only linear matrixing and filtering of the recorded channels when only the signal of a VR microphone is available. A time-frequency adaptive method is presented: providing native B-format manipulations, such as equalization, which can be applied to sound arriving from a specific direction with a high spatial resolution, yielding a backwards compatible modified B-format signal. Both linear and adaptive approaches are compared to the ideal case of truly equalized sources.","['Favrot, Alexis', 'Faller, Christof']","['Illusonic GmbH, Uster, Switzerland']","Spatial Audio, Part 3",Talk
87,A Novel Spatial Impulse Response Capture Technique for Realistic Artificial Reverberation in the 22.2 Multichannel Audio Format,"As immersive media content and technology begin to enter the marketplace, the need for truly immersive spatial reverberation tools takes on a renewed significance. A novel spatial impulse response capture technique optimized for the 22.2 multichannel audio format is presented. The proposed technique seeks to offer a path for engineers who are interested in creating three-dimensional spatial reverberation through convolution. Its design is informed by three-dimensional microphone techniques for the channel-based capture of acoustic music. A technical description of the measurement system used is given. The processes by which the spatial impulse responses are captured and rendered, including deconvolution and loudness normalization, are described. Three venues that have been measured using the proposed technique are presented. Preliminary listening sessions suggest that the array is capable of delivering a convincing three-dimensional reproduction of several acoustic spaces with a high degree of fidelity. Future research into the perception of realism in spatial reverberation for immersive music production is discussed.","['Kelly, Jack', 'King, Richard', 'Woszczyk, Wieslaw']","['McGill University, Montreal, QC, Canada', 'The Centre for Interdisciplinary Research in Music Media and Technology, Montreal, Quebec, Canada']",Room Acoustics,Poster
88,Comparison of Human and Machine Recognition of Electric Guitar Types,"The classification of musical instruments for instruments of the same type is a challenging task not only to experienced musicians but also in music information retrieval. The goal of this paper is to understand how guitar players with different experience levels perform in distinguishing audio recordings of single guitar notes from two iconic guitar models and to use this knowledge as a baseline to evaluate the performance of machine learning algorithms performing a similar task. For this purpose we conducted a blind listening test with 236 participants in which they listened to 4 single notes from 4 different guitars and had to classify them as a Fender Stratocaster or an Epiphone Les Paul. We found out that only 44% of the participants could correctly classify all 4 guitar notes. We also performed machine learning experiments using k-Nearest Neighbours (kNN) and Support Vector Machines (SVM) algorithms applied to a classification problem with 1292 notes from different Stratocaster and Les Paul guitars. The SVM algorithm had an accuracy of 93.9%, correctly predicting 139 audio samples from the 148 present in the testing set.","['Profeta, Renato', 'Schuller, Gerald']","['Ilmenau University of Technology, Ilmenau, Germany']",Perception,Poster
89,Low Deviation and High Sensitivity—Optimized Exciter Positioning for Flat Panel Loudspeakers by Considering Averaged Sound Pressure Equalization,"Loudspeaker panels represent a class of loudspeakers, whose electrical, mechanical, and acoustical properties differ completely from conventional loudspeakers. However, the acoustic properties are mostly associated with lower performance. The position of the excitation is one of the crucial parameters to optimize multiple parameters such as the frequency response in terms of linearity and sensitivity. This paper describes an approach to find the best excitation position for an exemplary distributed mode loudspeaker (DML) by considering efficiency and the averaged sound pressure equalization. An evaluation of the measured response in the horizontal plane of 25 excitation positions is presented and an optimization algorithm is used to filter every position to a certain acoustical quality standard.","['Zenker, Benjamin', 'Rawoof, Shanavaz Sanjay Abdul', 'Merchel, Sebastian', 'Altinsoy, M. Ercan']","['Technical University Dresden, Dresden, Germany']",Transducers,Talk
90,Objective Measurement of Stereophonic Audio Quality in the Directional Loudness Domain,"Automated audio quality prediction is still considered a challenge for stereo or multichannel signals carrying spatial information. A system that accurately and reliably predicts quality scores obtained by time-consuming listening tests can be of great advantage in saving resources, for instance, in the evaluation of parametric spatial audio codecs. Most of the solutions so far work with individual comparisons of distortions of interchannel cues across time and frequency, known to correlate to distortions in the evoked spatial image of the subject listener. We propose a scene analysis method that considers signal loudness distributed across estimations of perceived source directions on the horizontal plane. The calculation of distortion features in the directional loudness domain (as opposed to the time-frequency domain) seems to provide equal or better correlation with subjectively perceived quality degradation than previous methods, as con?rmed by experiments with an extensive database of parametric audio codec listening tests. We investigate the effect of a number of design alternatives (based on psychoacoustic principles) on the overall prediction performance of the associated quality measurement system.","['Delgado, Pablo', 'Herre, Jürgen']","['International Audio Laboratories Erlangen, Erlangen, Germany', 'Fraunhofer Institute for Integrated Circuits IIS, Erlangen, Germany']",Audio Signal Processing,Poster
91,Describing the Audible Effects of Nonlinear Loudspeaker Distortion,"In order to evaluate how and when listeners hear distortion in a nonlinear loudspeaker model, a three-part study was designed. A variety of audio files were processed through both a linear and a nonlinear loudspeaker model and the input signals were calibrated to produce a prescribed level of distortion in the nonlinear model. Listeners completed subjective experiments in which they heard both versions of the clips, selected the audible attributes they believed changed, and described the differences in their own words. In later tests, listeners marked in time they heard changes in the most commonly used descriptors. A full analysis of listener comments and time-based relationships is explored with theoretical explanations of the results obtained.","['McMullin, Elisabeth', 'Brunet, Pascal', 'Wang, Zhongran']","['Samsung Research America, Valencia, CA USA']",Perception,Talk
92,Realistic Procedural Sound Synthesis of Bird Song Using Particle Swarm Optimization,"We present a synthesis algorithm for approximating bird song using particle swarm optimization to match real bird recordings. Frequency and amplitude envelope curves are first extracted from a bird recording. Further analysis identifies the presence of even and odd harmonics. A particle swarm algorithm is then used to find cubic Bezier curves which emulate the envelopes. These curves are applied to modulate a sine oscillator and its harmonics. The synthesized syllable can then be repeated to generate the sound. Thirty-six bird sounds have been emulated this way, and a real-time web-based demonstrator is available, with user control of all parameters. Objective evaluation showed that the synthesized bird sounds captured most audio features of the recordings.","['Zúñiga, Jorge', 'Reiss, Joshua D.']","['Queen Mary University of London, London, UK']",Audio Signal Processing,Talk
93,"Subjective Graphical Representation of Microphone Arrays for Vertical Imaging and Three-Dimensional Capture of Acoustic Instruments, Part II","This investigation employs a simple graphical method in an effort to represent the perceived spatial attributes of three microphone arrays designed to create vertical and three-dimensional audio images. Three separate arrays were investigated in this study: Coincident, M/S-XYZ, and Non-coincident/Five-point capture. Instruments of the orchestral string, woodwind, and brass sections were recorded. Test subjects were asked to represent the spatial attributes of the perceived audio image on a horizontal/vertical grid and a graduated depth grid, via a pencil drawing. Results show that the arrays exhibit a greater extent in every dimension—vertical, horizontal, and depth—compared to the monophonic image. The statistical trends show that the spatial characteristics of each array are consistent across each dimension. In the context of immersive/3D mixing and post production, a case can be made that the arrays will contribute to a more efficient and improved workflow due to the fact that they are easily optimized during mixing or post-production.","['Martin, Bryan', 'Martin, Denis', 'King, Richard', 'Woszczyk, Wieslaw']","['McGill University, Montreal, QC, Canada', 'Centre for Interdisciplinary Research in Music Media and Technology (CIRMMT), Montreal, QC, Canada']","Recording, Production, and Live Sound",Talk
94,Analysis of a Vented-Box Loudspeaker System via the Impedance Function,"The vented-box loudspeaker system is studied through a small-signal equivalent circuit model via the impedance function. Some traditional models are found to inadequately represent the system losses, lumping them together in an effort to simplify the design process. Here, a low-frequency small-signal equivalent circuit model is proposed, incorporating five loss elements. The impedance function is derived, and system parameters are determined by curve-fitting the impedance function to measured impedance data. It is shown that the reactive elements determine the critical frequencies, and the lossy elements determine the Q-factors or contribute to the impedance level. Moreover, the lossy elements affect the curve-fit in a unique way, allowing their values to be quantified.","['Lazar, James', 'Kubota, Glenn S.']","['Samsung Research America, Valencia, CA, USA']",Transducers,Talk
95,Spatial Auditory Masking for Three-Dimensional Audio Coding,"Spatial auditory masking effects have been examined for developing highly efficient audio coding algorithms for signals in three-dimensional (3D) sound fields. Generally, the masking threshold level is lowered according to the increase of the directional difference between masker and maskee signals. However, we found that when a maskee signal is located at the symmetrical position of the masker signal with respect to the frontal plane of a listener, the masking threshold level is not lowered, which counters the expectations. A mathematical model is proposed to estimate the masking threshold caused by multiple masker signals in the 3D sound field. Using the model, the perceptual entropy of a tune from a two channel stereo CD was reduced by approximately 5.5%.","['Nishiguchi, Masayuki', 'Kato, Kodai', 'Watanabe, Kanji', 'Abe, Koji', 'Takane, Shouichi']","['Akita Prefectural University, Yurihonjo Akita, Japan']",Perception,Talk
96,Comparing Externalization Between the Neumann KU100 Versus Low Cost DIY Binaural Dummy Head,"Music is usually recorded using traditional microphone techniques. With technology continually advancing, binaural recording has become more popular, that is, a recording where two microphones are used to create a three-dimensional stereo image. Commercially available binaural heads are prohibitively expensive and not practical for use in typical educational environments or for casual use in a home studio. This experiment consisted of gathering recorded stimuli with a homemade binaural head and the Neumann KU 100. The recordings were played back for 34 subjects instructed to rate the level of externalization for each example. The study investigates whether a homemade binaural head made for under $500 can externalize sound as well as a commercially available binaural head the Neumann KU 100.","['DiPasquale, Kelley Jayne']","['SUNY Potsdam, Crane School of Music, Potsdam, NY, USA']",Spatial Audio,Poster
97,Optimum Measurement Locations for Large-Scale Loudspeaker System Tuning Based on First-Order Reflections Analysis,"This paper investigates how first-order reflections impact the response of sound reinforcement systems over large audiences. On the field, only few acoustical measurements can be performed to drive tuning decisions. The challenge is then to select the right measurement locations so that it provides an accurate representation of the loudspeaker system response. Simulations of each first-order reflection (e.g., floor or side wall reflection) are performed to characterize the average frequency response and its variability over the target audience area. Then, the representativity of measurements performed at a reduced number of locations is investigated. Results indicate that a subset of eight measurement locations spread over the target audience area represents a rational solution to characterize the loudspeaker system response.","['Moulin, Samuel', 'Corteel, Etienne', 'Montignies, François']","['L-Acoustics, Marcoussis, France']",Room Acoustics,Talk
98,Investigating Room-Induced Influences on Immersive Experience Part II: Effects Associated with Listener Groups and Musical Excerpts,"The authors previously compared four distinct multichannel playback rooms and showed that perceived spatial attributes of program material (width, depth, and envelopment) were similar across all four rooms when reproduced through a 22-channel loudspeaker array. The present study further investigated perceived auditory immersion from two additional variables: listener group and musical style. We found a three-way interaction of variables, MUSIC x (playback) ROOM x GROUP for 22-channel reproduced music. The interaction between musical material and playback room acoustics differentiates perceived auditory immersion across listener groups. However, in the 2-channel reproductions, the room and music interaction is prominent enough to flatten inter-group differences. The 22-channel reproduced sound fields may have shaped idiosyncratic cognitive bases for each listener group.","['Kim, Sungyoung', 'Sakamoto, Shuichi']","['Rochester Institute of Technology, Rochester, NY, USA', 'Tohoku University, Sendai, Japan']","Spatial Audio, Part 1",Talk
99,Immersive Sound Reproduction in Real Environments Using a Linear Loudspeaker Array,In this paper an immersive sound reproduction system capable of improving the overall listening experience is presented and tested using a loudspeaker linear array. The system aims at providing a channel separation over a broadband spectrum by implementing the RACE (Recursive Ambiophonic Crosstalk Elimination) algorithm and a beamforming algorithm based on a pressure matching approach. A real time implementation of the algorithm has been performed and its performance has been evaluated comparing it with the state of the art. Objective and subjective measurements have con?rmed the effectiveness of the proposed approach.,"['Bruschi, Valeria', 'Ortolani, Nicola', 'Cecchi, Stefania', 'Piazza, Francesco']","['Univeresità Politecnica delle Marche, Ancona, Italy']",Spatial Audio,Poster
100,Microphone Comparison: Spectral Feature Mapping for Snare Drum Recording,"Microphones are known to exhibit sonic differences and microphone selection is integral in achieving desired tonal qualities of recordings. In this paper an initial multi-stimuli listening test is used to categorize microphones based on user preference when recording snare drums. A spectral modification technique is then applied to recordings made with a microphone from the least preferred category, such that they take on the frequency characteristics of recordings from the most preferred category. To assess the success of the audio transformation, a second experiment is undertaken with expert listeners to gauge pre- and post-transformation preferences. Results indicate spectral transformation dramatically improves listener preference for recordings from the least preferred category, placing them on par with those of the most preferred.","['Cheshire, Matthew', 'Stables, Ryan', 'Hockman, Jason']","['Birmingham City University, Birmingham, UK']","Recording, Production, and Live Sound",Talk
101,A Latency Measurement Method for Networked Music Performances,"The New York University and the Leibniz University Hannover are working on future immersive Networked Music Performances. One of the biggest challenges of audio data transmission over IP-based networks is latency, which can affect the interplay of the participants. In this contribution, two metronomes, utilizing the Global Positioning System to generate a globally synchronized click signal, were used as a tool to determine delay times in the data transmission between both universities with high precision. The aim of this ?rst study is to validate the proposed method by obtaining insights into transmission latency as well as latency ?uctuations and asymmetries. This work also serves as baseline for future studies and helps to establish an effective connection between the two institutions.","['Hupke, Robert', 'Sridhar, Sripathi', 'Genovese, Andrea', 'Nophut, Marcel', 'Preihs, Stephan', 'Beyer, Tom', 'Roginska, Agnieszka', 'Peissig, Jürgen']","['Leibniz Universität Hannover, Hannover, Germany', 'New York University, New York, NY, USA']",Applications in Audio,Poster
102,Summed Efficiency-Method for Efficient Vented Box Speaker Design,"Loudspeakers are inefficient and conventional design methods do not consider the efficiency in the design process. With the rise of Digital Signal Processing (DSP) the frequency response can be corrected with pre-filtering. Based on a frequency domain analysis of vented box enclosures this paper proposes a new method, the Summed efficiency-method (S?-method), for designing vented box enclosures. The method focuses on mapping the efficiency and SPL output vs. volume and tuning frequency enabling the designer to perform knowledge-based trade-off decisions in the design process. A design example shows how the method can be used to improve the efficiency with over 70% compared to a conventional maximum flat alignment for a compact Public Address (PA) subwoofer application.","['Iversen, Niels Elkjær', 'Christensen, Theis', 'Bjørnskov, Anders', 'Petersen, Lars']","['ICEpower a/s, Copenhagen, Denmark', 'Technical University of Denmark, Kgs. Lyngby, Denmark']",Product Development,Talk
103,Detection of the Effect of Window Duration in an audio Source Separation Paradigm,Non-negative matrix factorization (NMF) is a commonly used method for audio source separation in applications such as polyphonic music separation and noise removal. Previous research evaluated the use of additional algorithmic components and systems in efforts to improve the effectiveness of NMF. This study examined how the short-time Fourier transform (STFT) window duration used in the algorithm might affect detectable differences in separation performance. An ABX listening test compared speech extracted from two types of noise-contaminated mixtures at different window durations to determine if listeners could discriminate between them. It was found that the window duration had a significant impact on subject performance in both white- and conversation-noise cases with lower scores for the latter condition.,"['Miller, Ryan', 'Bulla, Wesley', 'Tarr, Eric']","['Belmont University, Nashville, TN, USA']",Audio Signal Processing,Poster
104,Calibration Approaches for Higher Order Ambisonic Microphones,"Recent years have seen an increase in the capture and production of ambisonic material due to companies such as YouTube and Facebook utilizing ambisonics for spatial audio playback. Consequently, there is now a greater need for affordable high order microphone arrays due to this uptake in technology. This work details the development of a five-channel circular horizontal ambisonic microphone intended as a tool to explore various optimization techniques, focusing on capsule calibration & pre-processing approaches for unmatched capsules.","['Middlicott, Charles', 'Wiggins, Bruce']","['University of Derby, Derby, UK']",Spatial Audio,Poster
105,Analyzing and Extracting Multichannel Sound Field,"Current post production workflow requires sound engineers to create multiple multichannel audio delivery formats. Inaccurate translation between formats may lead to more time and cost for extra manual adjustment; whereas in sound reproduction, it causes misinterpretation of the original mix and deviation from the intended story. This paper proposes a method that combines both analyzing an encoded Ambisonics field from the input multichannel signal and analyzing between each pair of adjacent channels. This allows an overall understanding of the multichannel sound field while having the ability to have a fine extraction from each channel pair. The result can be used to translate between multichannel formats and also to provide a more accurate rendering for immersive stereo playback.","['Hsieh, Pei-Lun']","['Ambidio, Glendale, CA, USA']",Audio Signal Processing,Talk
106,Distortion Modeling of Nonlinear Systems Using Ramped-Sines and Lookup Tables,"Nonlinear systems identification is used to synthesize black-box models of nonlinear audio effects and as such is a widespread topic of interest within the audio industry. As a variety of implementation algorithms provide a myriad of approaches, questions arise whether there are major functional differences between methods and implementations. This paper presents a novel method for the black-box measurement of distortion characteristic curves and an analysis of the popular “lookup table” implementation of nonlinear effects. Pros and cons of the techniques are examined from a signal processing perspective and the basic limitations and efficiencies of the approaches are discussed.","['Mayo, Paul', 'Bulla, Wesley']","['University of Maryland, College Park, MD, USA', 'Belmont University, Nashville, TN, USA']",Audio Signal Processing,Poster
107,Effects of Capsule Coincidence in FOA Using MEMS: Objective Experiment,"This paper describes an experiment attempting to determine the effects of capsule coincidence in First Order Ambisonic (FOA) capture. While the spatial audio technique of ambisonics has been widely researched, it continues to grow in interest with the proliferation of AR and VR devices and services. Specifically, this paper attempts to determine whether the increased capsule coincidence afforded by Micro-Electronic Mechanical Systems (MEMS) capsules can help increase the impression of realism in spatial audio recordings via objective and subjective analysis. This is the first of a two-part paper.","['Zalles, Gabriel']","['University of California, San Diego, La Jolla, CA, USA']","Spatial Audio, Part 3",Talk
108,Precise Temporal Localization of Sudden Onsets in Audio Signals Using the Wavelet Approach,"Presently reported is a wavelet-based method for the temporal localization of sudden onsets in audio signals with sub-millisecond precision. The method only requires O(n) operations, which is highly efficient. The entire audio signal can be processed as a whole without the need to be broken down into individual windowed overlapping blocks. It can also be processed in a streaming mode compatible with real-time processing. In comparison with time-domain and frequency-domain methods, the wavelet-based method proposed here offers several distinct advantages in sudden onset detection, temporal localization accuracy, and computational cost, which may therefore find broad applications in audio signal processing and music information retrieval.","['Wan, Yuxuan', 'Chen, Yijia', 'Sim, Keegan Yi Hang', 'Wu, Lijia', 'Geng, Xianzheng', 'Chau, Kevin']","['Hong Kong University of Science and Technology, Clean Water Bay, Hong Kong']",Semantic Audio,Talk
109,Synthesis of Binaural Room Impulse Responses for Different Listening Positions Considering the Source Directivity,"A popular goal in research on virtual and augmented acoustic realities is the implementation of realistic room acoustics and sound source characteristics. Additionally, listeners want to move around, explore the virtual or augmented environments. One way to realize position-dynamic synthesis is the use of binaural technologies on the basis of real measurements. While this approach allows to successfully reproduce the real acoustic environment, many positions need to be measured. To reduce the time effort new methods are invented to calculate binaural room impulse responses from few positions. The presented work enhances existing synthesis methods by including predefined sound source directivities into calculation of binaural room impulse responses. The results are analyzed in a physical and in a perceptive way.","['Sloma, Ulrike', 'Klein, Florian', 'Werner, Stephan', 'Pappachan Kannookadan, Tyson']","['Technische Universität Ilmenau, Ilmenau, Germany']",Room Acoustics,Talk
110,The Generation Gap—Perception and Workflow of Analog vs. Digital Mixing,"Are sound engineers showing preference for the mixing technology of their generation? We interviewed producer Ezequiel Morfi who owns TITANIO in Buenos Aires and contrasted his opinions with those of four mixers based in Western Canada who were required to use analog-only or digital-only mixing tools when preparing stimuli for this study. To ascertain the myths about which technology sounds superior, 19 trained listeners of ages 17–37 compared analog and digital mixing versions of 8 pop-rock tracks in a double-blind listening test. The main results showed that the analog version of one track was significantly preferred by 79% of the listeners (p=.02), and we observed a slight trend towards the significance of age on preference for the analog format (p=.09).","['Chambers-Moranz, Ryland', 'Pras, Amandine', 'Thomas, Nate']","['University of Lethbridge, Lethbridge, AB, Canada', 'School for Advanced Studies in the Social Sciences, Paris, France']",Audio Education,Talk
111,Digital Parametric Filters Beyond Nyquist Frequency,"Filter Digitization through the Bilinear Transformation is often considered a very good all-around method to produce equalizer sections. The method is well behaved in terms of stability and ease of implementation; however, the frequency warping produced by the transformation leads to abnormalities near the Nyquist frequency. Moreover, it is impossible to design parametric sections whose analog center frequencies are defined above the Nyquist frequency. These filters, even with center frequencies outside of the hearing range, have effects that extend into the hearing bandwidth with desirable characteristics during mixing and mastering. Surpassing these limitations, while controlling the abnormalities of the warping produced by the Bilinear Transform through an alternative definition of the Bilinear constant is the purpose of this paper. In the process, also a correction factor is discussed for the bandwidth of the parametric section to correct abnormalities affecting the digitization of this parameter.","['Sierra, Juan']","['Stanford University, Stanford, CA, USA']",Audio Signal Processing,Talk
112,Simplified Source Directivity Rendering in Acoustic Virtual Reality Using the Directivity Sample Combination,"This contribution proposes a simplified rendering of source directivity patterns for the simulation and auralization of auditory scenes consisting of multiple listeners or sources. It is based on applying directivity filters of arbitrary directivity patterns at multiple, supposedly important directions, and approximating the filter outputs of intermediate directions by interpolation. This reduces the amount of required filtering operations considerably and thus increases the computational efficiency of the auralization. As a proof of concept, the simplification is evaluated from a technical as well as from a perceptual point of view for one specific use case. The promising results suggest further studies of the proposed simplification in the future to assess its applicability to more complex scenarios.","['Götz, Georg', 'Pulkki, Ville']","['Aalto University, Espoo, Finland']","Spatial Audio, Part 2",Talk
113,Evaluation of Multichannel Audio in Automobiles versus Mobile Phones,"Multichannel surround and 3D audio are slowly gaining popularity and eventually commercial content in these formats will become common. Many automobiles still have a stereo sound system with some firmware or software that is capable of rendering multichannel audio into stereo. This paper shows the results of a listening test for multichannel audio conducted in a medium-sized car. The results of this test are compared to the results of a listening test for the same audio excerpts but conducted on a mobile phone with headphones. The results show that on mobile phones, multichannel audio clearly outperforms stereo in terms of perceived audio quality as rated by a user. However in automobiles, multichannel audio only shows marginal improvement in the rated audio quality.","['Toosy, Fesal', 'Ehsan, Muhammad Sarwar']","['University of Central Punjab, Lahore, Pakistan']",Applications in Audio,Talk
